Round,#,Scenario,Details,Status,Actual Behavior
Round 1,1,Manual trigger completes without the 5-minute wait,"Publish a docs_article entry in Sandbox, then manually run the ""Promote CS Docs from Sandbox to Prod (Staging env)"" workflow (Actions tab, Run workflow, leave entry_uids blank). Confirms the manual path is a genuine on-demand shortcut, not just an early cron tick.",Passed,"Merged a real test article into main (PR #400) under cs-docs/agent-os/automations/automation-management/, which synced into Sandbox as a draft. Published it in Sandbox, then manually triggered the workflow (scoped via entry_uids rather than leaving it blank, to avoid sweeping in unrelated real content). The run completed in 52 seconds. This workflow only has a workflow_dispatch trigger and no schedule at all, so any completion here is proof of a genuine on-demand path, not an early cron tick."
Round 1,2,Save a draft without publishing,"Save/update an entry without publishing it, then manually run the promotion workflow. Since the script only ever fetches published entries, the draft should not be promoted at all.",Passed,"Used the same GitHub-synced entry while it was still an unpublished draft (before publishing it for scenario 1). Ran the promotion workflow scoped to its uid. Run log showed ""No published entries to promote"": the draft never appeared in the promotable list at all, and no entry was created in Prod."
Round 1,3,Unpublish an entry,"Unpublish an entry that previously existed in Prod, then manually run promotion. Confirms an unpublished entry is never (re-)promoted, and any existing Prod copy is left untouched rather than deleted (the script only creates/updates, never deletes).",Passed,"Using the same entry already promoted to Prod in scenario 1, unpublished it in Sandbox and re-ran the promotion workflow scoped to its uid. Run log showed ""No published entries to promote"". Verified via the management API that the Prod entry's _version and publish_details (staging + development timestamps) were byte-for-byte unchanged, and its reference inside the ""Automation Management"" nav node was still present. This confirms the existing Prod copy was left untouched, not deleted or modified."
Round 1,4,Verify promoted content matches Sandbox exactly,"Publish an entry, run promotion, then check the resulting Prod entry's content (fields, body/sections, tags, SEO description) matches Sandbox exactly.",Passed (with a finding),"Published two throwaway articles, each with an embedded local image, under cs-docs/assets/asset-localization/ via PR #405, merged to main, synced to Sandbox, published, and promoted. Diffed Sandbox against Prod field by field for both entries: title, url, tags, body HTML, and the embedded image reference were identical. The only difference found was an internal block _metadata.uid, which the code's own comments already document as expected to regenerate per stack, not a real content mismatch. Finding: the promoted image was never re-uploaded to Prod's own asset library. The Prod entry's img tag still points at the Sandbox stack's asset host (api key blt1a9af0bcb3816d6e), so Prod's rendered content stays dependent on that Sandbox asset continuing to exist. Both staging and development publish_details were present and correct for both entries. Alpha: Sandbox uid blte54bef176f74da3f, Prod uid blt95a08745b669dff7, staging URL https://stag-www.contentstack.com/docs/assets/test-promotion-image-alpha-1786984556. Beta: Sandbox uid blt34f4dc0563d86280, Prod uid blt4101aa315b0e372c, staging URL https://stag-www.contentstack.com/docs/assets/test-promotion-image-beta-1786984556."
Round 1,5,Two different entries published together get promoted together,"Publish two different entries, then run promotion once. Confirms a single run (with entry_uids left blank) picks up and promotes every currently published entry, not just one.",Passed (with a finding),"Published both of the same two test articles from scenario 4 in Sandbox, then ran the promotion workflow once, scoped to both entry uids. The run log showed ""Found 2 published entries to promote"", and both were created in Prod and linked into the live ""Asset Localization"" nav section within that same run. Finding: both entries carried the same pr-405 tag from the same merged PR, so both tried to create a Release named ""PR #405"". The first succeeded. The second failed with HTTP 422 (""name is not unique""), caught and logged as a warning rather than failing the run. Only the first entry and the shared product_navigation entry ended up in the Release. The second entry was correctly created and nav-linked in Prod but was silently left out of the Release. Beta ran first and is in the Release: Sandbox uid blt34f4dc0563d86280, Prod uid blt4101aa315b0e372c, staging URL https://stag-www.contentstack.com/docs/assets/test-promotion-image-beta-1786984556. Alpha ran second and was left out of the Release: Sandbox uid blte54bef176f74da3f, Prod uid blt95a08745b669dff7, staging URL https://stag-www.contentstack.com/docs/assets/test-promotion-image-alpha-1786984556."
Round 1,6,Re-running promotion with no changes is a clean no-op,"Run promotion, then immediately run it again with nothing changed in between. Confirms the second run skips every entry as unchanged rather than re-writing or erroring.",Passed (with a finding),"Created two throwaway articles (Alpha, Beta) under cs-docs/assets/asset-localization/ via PR #427, merged to main, published in Sandbox, and promoted in one run. Beta: Sandbox uid blt9b173a9e9283d18f, Prod uid bltbf79af7f625b1d2f, staging URL https://stag-www.contentstack.com/docs/assets/test-sbprod-round2-beta-1787032278. Alpha: Sandbox uid blt30f10446558fe9e7, Prod uid blt12dfcf541a2cf9b6, staging URL https://stag-www.contentstack.com/docs/assets/test-sbprod-round2-alpha-1787032278. Re-ran promotion immediately with nothing changed. The run reported ""Updated"" for both entries, not skipped, even though nothing had changed. Root cause: on creation, Contentstack's Management API regenerates the modular block's internal _metadata.uid inside article_content, and this nested field is never stripped by contentsEqual, which only strips top-level fields on the entry itself, not metadata nested inside a block. So the first re-run after any entry's creation always looks changed and forces a real update, which then overwrites Prod's block uid to match Sandbox's. A third run, with still nothing changed, correctly reported both entries as skipped, and _version/updated_at stayed unchanged, confirming a true no-op from that point on."
Round 1,7,entry_uids input scopes to a single entry,"Manually run promotion with a single entry's ID in the entry_uids field. Check the run log confirms only that entry was processed, and other currently-published entries were left untouched by this run.",Not tested,
Round 1,8,entry_uids input scopes to multiple entries,"Manually run promotion with several comma-separated entry IDs in entry_uids. Confirms all and only those entries are processed in that run.",Not tested,
Round 1,9,entry_uids with a nonexistent or unpublished ID,"Manually run promotion with an entry_uids value that doesn't match any currently published entry (typo, already-unpublished, or fake ID). Confirms the run completes cleanly and promotes nothing, rather than erroring.",Not tested,
Round 1,10,Cron doesn't double-promote after a manual run,"After a manual promotion, wait for the next scheduled cron tick (every 5 minutes) and confirm its promote step logs a no-op for the entries the manual run already handled.",Passed,"After the baseline manual run for the same Alpha and Beta entries (see scenario 6), waited for a real scheduled cron tick, which fired at 06:16:37 UTC. That run was unscoped (entry_uids blank) and swept in 4 published entries stack wide. Its log showed both Alpha and Beta reported as ""No changes detected, skipping"", confirming cron did not redo the manual run's already-finished work. The 2 entries it did update were unrelated real content elsewhere in the stack."
