File,Line,Error type,Message,Fixability
administration-user-session.md,3,Future tense,"Future tense ""will"" — rewrite in present tense",Manual content edit
api-detail/analytics-api.md,,Frontmatter,"frontmatter 'url' ""analytics-api"" should start with https:// or /",Programmatic fix
api-detail/analytics-api.md,74,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/analytics-api.md,115,Banned phrase,"Banned phrase ""utilize"" — remove or rewrite",Manual content edit
api-detail/analytics-api.md,74,Vague adverb,"Vague adverb ""very"" — replace with specific language",Manual content edit
api-detail/analytics-api.md,452,Future tense,"Future tense ""will be"" — rewrite in present tense",Manual content edit
api-detail/analytics-api.md,366,Future tense,"Future tense ""will need to"" — rewrite in present tense",Manual content edit
api-detail/analytics-api.md,464,Future tense,"Future tense ""will allow you"" — rewrite in present tense",Manual content edit
api-detail/analytics-api.md,464,Future tense,"Future tense ""will allow"" — rewrite in present tense",Manual content edit
api-detail/analytics-api.md,239,Future tense,"Future tense ""will show"" — rewrite in present tense",Manual content edit
api-detail/analytics-api.md,20,Future tense,"Future tense ""will return"" — rewrite in present tense",Manual content edit
api-detail/analytics-api.md,57,Future tense,"Future tense ""will receive"" — rewrite in present tense",Manual content edit
api-detail/analytics-api.md,452,Future tense,"Future tense ""will be able to"" — rewrite in present tense",Manual content edit
api-detail/analytics-api.md,20,Future tense,"Future tense ""will"" — rewrite in present tense",Manual content edit
api-detail/analytics-api.md,546,ALL CAPS word,"ALL CAPS word ""HIT"" — use bold or a known acronym",Allowlist / manual
api-detail/analytics-api.md,546,ALL CAPS word,"ALL CAPS word ""MISS"" — use bold or a known acronym",Allowlist / manual
api-detail/analytics-api.md,546,ALL CAPS word,"ALL CAPS word ""HIT"" — use bold or a known acronym",Allowlist / manual
api-detail/analytics-api.md,546,ALL CAPS word,"ALL CAPS word ""MISS"" — use bold or a known acronym",Allowlist / manual
api-detail/analytics-api.md,597,ALL CAPS word,"ALL CAPS word ""HIT"" — use bold or a known acronym",Allowlist / manual
api-detail/analytics-api.md,597,ALL CAPS word,"ALL CAPS word ""MISS"" — use bold or a known acronym",Allowlist / manual
api-detail/analytics-api.md,599,ALL CAPS word,"ALL CAPS word ""HIT"" — use bold or a known acronym",Allowlist / manual
api-detail/analytics-api.md,599,ALL CAPS word,"ALL CAPS word ""MISS"" — use bold or a known acronym",Allowlist / manual
api-detail/analytics-api.md,8,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/analytics-api.md,9,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/analytics-api.md,10,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/analytics-api.md,11,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/analytics-api.md,12,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/analytics-api.md,13,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/analytics-api.md,14,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/automations-management-api.md,,Frontmatter,"frontmatter 'url' ""automations-management-api"" should start with https:// or /",Programmatic fix
api-detail/automations-management-api.md,46,Punctuation / style,"""e.g."" must be followed by a comma — use ""e.g.,""",Manual content edit
api-detail/automations-management-api.md,56,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/automations-management-api.md,56,Vague adverb,"Vague adverb ""very"" — replace with specific language",Manual content edit
api-detail/automations-management-api.md,618,Future tense,"Future tense ""will be"" — rewrite in present tense",Manual content edit
api-detail/automations-management-api.md,527,Future tense,"Future tense ""will need to"" — rewrite in present tense",Manual content edit
api-detail/automations-management-api.md,630,Future tense,"Future tense ""will allow you"" — rewrite in present tense",Manual content edit
api-detail/automations-management-api.md,630,Future tense,"Future tense ""will allow"" — rewrite in present tense",Manual content edit
api-detail/automations-management-api.md,28,Future tense,"Future tense ""will return"" — rewrite in present tense",Manual content edit
api-detail/automations-management-api.md,42,Future tense,"Future tense ""will receive"" — rewrite in present tense",Manual content edit
api-detail/automations-management-api.md,618,Future tense,"Future tense ""will be able to"" — rewrite in present tense",Manual content edit
api-detail/automations-management-api.md,28,Future tense,"Future tense ""will"" — rewrite in present tense",Manual content edit
api-detail/automations-management-api.md,1653,ALL CAPS word,"ALL CAPS word ""VARIABLE"" — use bold or a known acronym",Allowlist / manual
api-detail/automations-management-api.md,1653,ALL CAPS word,"ALL CAPS word ""INITIAL"" — use bold or a known acronym",Allowlist / manual
api-detail/automations-management-api.md,1653,ALL CAPS word,"ALL CAPS word ""VALUE"" — use bold or a known acronym",Allowlist / manual
api-detail/automations-management-api.md,8,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/automations-management-api.md,9,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/automations-management-api.md,10,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/automations-management-api.md,11,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/automations-management-api.md,12,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/automations-management-api.md,13,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/automations-management-api.md,14,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/brand-kit-management-api.md,,Frontmatter,"frontmatter 'url' ""brand-kit-management-api"" should start with https:// or /",Programmatic fix
api-detail/brand-kit-management-api.md,51,Punctuation / style,"""e.g."" must be followed by a comma — use ""e.g.,""",Manual content edit
api-detail/brand-kit-management-api.md,61,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/brand-kit-management-api.md,476,Double space,Double space found,Manual content edit
api-detail/brand-kit-management-api.md,61,Vague adverb,"Vague adverb ""very"" — replace with specific language",Manual content edit
api-detail/brand-kit-management-api.md,480,Future tense,"Future tense ""will be"" — rewrite in present tense",Manual content edit
api-detail/brand-kit-management-api.md,383,Future tense,"Future tense ""will need to"" — rewrite in present tense",Manual content edit
api-detail/brand-kit-management-api.md,492,Future tense,"Future tense ""will allow you"" — rewrite in present tense",Manual content edit
api-detail/brand-kit-management-api.md,492,Future tense,"Future tense ""will allow"" — rewrite in present tense",Manual content edit
api-detail/brand-kit-management-api.md,30,Future tense,"Future tense ""will return"" — rewrite in present tense",Manual content edit
api-detail/brand-kit-management-api.md,47,Future tense,"Future tense ""will receive"" — rewrite in present tense",Manual content edit
api-detail/brand-kit-management-api.md,480,Future tense,"Future tense ""will be able to"" — rewrite in present tense",Manual content edit
api-detail/brand-kit-management-api.md,30,Future tense,"Future tense ""will"" — rewrite in present tense",Manual content edit
api-detail/brand-kit-management-api.md,36,ALL CAPS word,"ALL CAPS word ""CRUD"" — use bold or a known acronym",Allowlist / manual
api-detail/brand-kit-management-api.md,37,ALL CAPS word,"ALL CAPS word ""CRUD"" — use bold or a known acronym",Allowlist / manual
api-detail/brand-kit-management-api.md,904,ALL CAPS word,"ALL CAPS word ""VARIABLE"" — use bold or a known acronym",Allowlist / manual
api-detail/brand-kit-management-api.md,904,ALL CAPS word,"ALL CAPS word ""INITIAL"" — use bold or a known acronym",Allowlist / manual
api-detail/brand-kit-management-api.md,904,ALL CAPS word,"ALL CAPS word ""VALUE"" — use bold or a known acronym",Allowlist / manual
api-detail/brand-kit-management-api.md,20,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/brand-kit-management-api.md,21,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/brand-kit-management-api.md,22,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/brand-kit-management-api.md,23,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/brand-kit-management-api.md,24,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/brand-kit-management-api.md,25,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/brand-kit-management-api.md,26,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,,Frontmatter,"frontmatter 'url' ""content-delivery-api"" should start with https:// or /",Programmatic fix
api-detail/content-delivery-api.md,53,Punctuation / style,"""i.e."" must be followed by a comma — use ""i.e.,""",Manual content edit
api-detail/content-delivery-api.md,98,Punctuation / style,"""e.g."" must be followed by a comma — use ""e.g.,""",Manual content edit
api-detail/content-delivery-api.md,1052,Double space,Double space found,Manual content edit
api-detail/content-delivery-api.md,1302,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/content-delivery-api.md,1407,Em dash,Em dash (—) not permitted — use a comma or rewrite,Manual content edit
api-detail/content-delivery-api.md,1411,Em dash,Em dash (—) not permitted — use a comma or rewrite,Manual content edit
api-detail/content-delivery-api.md,1414,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/content-delivery-api.md,1799,Double space,Double space found,Manual content edit
api-detail/content-delivery-api.md,1888,Double space,Double space found,Manual content edit
api-detail/content-delivery-api.md,1306,Banned phrase,"Banned phrase ""in order to"" — remove or rewrite",Manual content edit
api-detail/content-delivery-api.md,16,Vague adverb,"Vague adverb ""soon"" — replace with specific language",Manual content edit
api-detail/content-delivery-api.md,2950,Vague adverb,"Vague adverb ""really"" — replace with specific language",Manual content edit
api-detail/content-delivery-api.md,2955,Vague adverb,"Vague adverb ""rather"" — replace with specific language",Manual content edit
api-detail/content-delivery-api.md,686,Vague adverb,"Vague adverb ""usually"" — replace with specific language",Manual content edit
api-detail/content-delivery-api.md,2958,Vague adverb,"Vague adverb ""often"" — replace with specific language",Manual content edit
api-detail/content-delivery-api.md,2931,Vague adverb,"Vague adverb ""totally"" — replace with specific language",Manual content edit
api-detail/content-delivery-api.md,14,Vague adverb,"Vague adverb ""greatly"" — replace with specific language",Manual content edit
api-detail/content-delivery-api.md,16,Future tense,"Future tense ""will be"" — rewrite in present tense",Manual content edit
api-detail/content-delivery-api.md,359,Future tense,"Future tense ""will have"" — rewrite in present tense",Manual content edit
api-detail/content-delivery-api.md,45,Future tense,"Future tense ""will need to"" — rewrite in present tense",Manual content edit
api-detail/content-delivery-api.md,144,Future tense,"Future tense ""will appear"" — rewrite in present tense",Manual content edit
api-detail/content-delivery-api.md,87,Future tense,"Future tense ""will return"" — rewrite in present tense",Manual content edit
api-detail/content-delivery-api.md,20,Future tense,"Future tense ""will receive"" — rewrite in present tense",Manual content edit
api-detail/content-delivery-api.md,2950,Future tense,"Future tense ""will fetch"" — rewrite in present tense",Manual content edit
api-detail/content-delivery-api.md,2913,Future tense,"Future tense ""will be able to"" — rewrite in present tense",Manual content edit
